transaction_id,account_id,merchant_name,merchant_id,timestamp,transaction_description,category,amount,currency,predicted_category,confidence,correct
MARC00014,ACC0000001,Repsol,MRC_GAS_001,2020-01-09 13:08:00,REPSOL 7781 ES,Transportation,14.25,EUR,Transportation,1.0,True
MARC00015,ACC0000001,Mutua,MRC_SCH_001,2020-01-10 01:40:00,MUTUA MADRILENA XFUPUB,Financial Services,816.37,EUR,Financial Services,1.0,True
MARC00016,ACC0000001,Disney+,MRC_SUB_003,2020-01-10 06:43:00,DISNEY PLUS*,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00017,ACC0000001,Mango,MRC_SHP_002,2020-01-10 11:31:00,MANGO 5845 BCN,Shopping & Retail,51.78,EUR,Shopping & Retail,1.0,True
MARC00018,ACC0000001,Mercadona,MRC_GRC_001,2020-01-10 13:11:00,MERCADONA 03353,Food & Dining,52.91,EUR,Food & Dining,1.0,True
MARC00019,ACC0000001,BSM Parking,MRC_PRK_002,2020-01-11 09:57:00,BSM PARKING BCN ZW1V,Transportation,19.8,EUR,Transportation,0.9999,True
MARC00020,ACC0000001,Repsol,MRC_GAS_001,2020-01-11 15:35:00,REPSOL 1782 ES,Transportation,12.58,EUR,Transportation,1.0,True
MARC00021,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-01-11 21:08:00,RETIRADA EFECTIVO CAJERO 79CV,Financial Services,200.0,EUR,Financial Services,0.8597,True
MARC00022,ACC0000001,HBO Max,MRC_SUB_004,2020-01-12 01:09:00,MAX *SUBSCRIPTION DWH0V2,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00023,ACC0000001,Mercadona,MRC_GRC_001,2020-01-13 18:08:00,MERCADONA 01092,Food & Dining,45.29,EUR,Food & Dining,1.0,True
MARC00024,ACC0000001,Local restaurant,MRC_RST_006,2020-01-13 21:52:00,RESTAURANTE 3MNM3 BCN,Food & Dining,39.9,EUR,Food & Dining,1.0,True
MARC00025,ACC0000001,DiR Gym,MRC_GYM_001,2020-01-15 00:45:00,GIMNASIO DIR 6551 BCN,Healthcare & Medical,59.9,EUR,Healthcare & Medical,1.0,True
MARC00026,ACC0000001,Amazon Prime,MRC_SUB_005,2020-01-15 03:42:00,AMAZON PRIME*,Entertainment & Recreation,4.99,EUR,Entertainment & Recreation,1.0,True
MARC00027,ACC0000001,Local restaurant,MRC_RST_006,2020-01-15 10:56:00,RESTAURANTE L1ZZN BCN,Food & Dining,58.82,EUR,Food & Dining,1.0,True
MARC00028,ACC0000001,Glovo,MRC_DLV_001,2020-01-15 14:24:00,GLOVO *ORDER VKYV9Y,Food & Dining,17.13,EUR,Food & Dining,1.0,True
MARC00029,ACC0000001,Repsol,MRC_GAS_001,2020-01-17 08:07:00,REPSOL 8534 ES,Transportation,58.12,EUR,Transportation,1.0,True
MARC00030,ACC0000001,El Born Bar,MRC_BAR_002,2020-01-18 17:04:00,EL BORN BAR BCN,Food & Dining,21.35,EUR,Food & Dining,0.9975,True
MARC00031,ACC0000001,Repsol,MRC_GAS_001,2020-01-19 16:40:00,REPSOL 1064 ES,Transportation,69.08,EUR,Transportation,1.0,True
MARC00032,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-01-19 23:13:00,RETIRADA EFECTIVO CAJERO 7DSI,Financial Services,200.0,EUR,Financial Services,0.8583,True
MARC00033,ACC0000001,iCloud,MRC_SUB_007,2020-01-20 01:54:00,APPLE.COM/BILL,Entertainment & Recreation,2.99,EUR,Entertainment & Recreation,1.0,True
MARC00034,ACC0000001,Mercadona,MRC_GRC_001,2020-01-20 13:32:00,MERCADONA 08237,Food & Dining,61.36,EUR,Food & Dining,1.0,True
MARC00035,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-01-20 16:29:00,MIKKELLER BARCELONA,Food & Dining,20.15,EUR,Food & Dining,0.4847,True
MARC00036,ACC0000001,Bon Preu,MRC_GRC_004,2020-01-20 21:07:00,BON PREU 3464 BCN,Food & Dining,45.97,EUR,Food & Dining,1.0,True
MARC00037,ACC0000001,BSM Parking,MRC_PRK_002,2020-01-21 08:14:00,BSM PARKING BCN PL0F,Transportation,18.76,EUR,Transportation,1.0,True
MARC00038,ACC0000001,Mercadona,MRC_GRC_001,2020-01-21 10:09:00,MERCADONA 07970,Food & Dining,55.14,EUR,Food & Dining,1.0,True
MARC00039,ACC0000001,Lidl,MRC_GRC_002,2020-01-21 14:28:00,LIDL ES 1907,Food & Dining,61.64,EUR,Food & Dining,1.0,True
MARC00040,ACC0000001,Bar del Pla,MRC_RST_003,2020-01-21 15:41:00,BAR DEL PLA BCNA,Food & Dining,61.77,EUR,Food & Dining,0.9923,True
MARC00041,ACC0000001,Just Eat,MRC_DLV_002,2020-01-21 17:12:00,JUST EAT ES 37J4PU,Food & Dining,36.55,EUR,Food & Dining,1.0,True
MARC00042,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-01-22 17:12:00,MIKKELLER BARCELONA,Food & Dining,31.07,EUR,Food & Dining,0.4847,True
MARC00043,ACC0000001,Farmàcia,MRC_MED_001,2020-01-23 08:48:00,FARMACIA B3VT BCN,Healthcare & Medical,32.53,EUR,Healthcare & Medical,1.0,True
MARC00044,ACC0000001,BSM Parking,MRC_PRK_002,2020-01-23 19:41:00,BSM PARKING BCN NUHU,Transportation,9.68,EUR,Transportation,0.9999,True
MARC00045,ACC0000001,BSM Parking,MRC_PRK_002,2020-01-24 10:56:00,BSM PARKING BCN 229U,Transportation,20.59,EUR,Transportation,0.9999,True
MARC00046,ACC0000001,Local restaurant,MRC_RST_006,2020-01-24 15:26:00,RESTAURANTE GXGXX BCN,Food & Dining,29.6,EUR,Food & Dining,1.0,True
MARC00047,ACC0000001,El Nacional,MRC_RST_001,2020-01-25 22:14:00,EL NACIONAL BARCELONA,Food & Dining,22.72,EUR,Healthcare & Medical,0.9197,False
MARC00048,ACC0000001,Mercadona,MRC_GRC_001,2020-01-25 23:51:00,MERCADONA 06228,Food & Dining,84.96,EUR,Food & Dining,1.0,True
MARC00049,ACC0000001,El Xampanyet,MRC_RST_005,2020-01-26 23:34:00,EL XAMPANYET BCN,Food & Dining,65.82,EUR,Shopping & Retail,0.4552,False
MARC00050,ACC0000001,Mercadona,MRC_GRC_001,2020-01-27 12:22:00,MERCADONA 07620,Food & Dining,82.17,EUR,Food & Dining,1.0,True
MARC00051,ACC0000001,Employer,MRC_INC_001,2020-01-28 03:24:00,NOMINA BANCO FERRER SA 202001,Income,5000.0,EUR,Income,0.9983,True
MARC00052,ACC0000001,H&M,MRC_SHP_004,2020-01-28 18:42:00,H&M 6199 BCN,Shopping & Retail,90.19,EUR,Shopping & Retail,0.4507,True
MARC00053,ACC0000001,El Nacional,MRC_RST_001,2020-01-29 16:27:00,EL NACIONAL BARCELONA,Food & Dining,26.29,EUR,Healthcare & Medical,0.9197,False
MARC00054,ACC0000001,Dry Martini,MRC_BAR_004,2020-01-30 20:25:00,DRY MARTINI BCN,Food & Dining,19.74,EUR,Shopping & Retail,0.9922,False
MARC00055,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-01-30 20:26:00,MIKKELLER BARCELONA,Food & Dining,30.01,EUR,Food & Dining,0.4847,True
MARC00056,ACC0000001,Amazon ES,MRC_SHP_005,2020-01-31 08:56:00,AMZN MKTP ES*41NLBOKF,Shopping & Retail,106.92,EUR,Shopping & Retail,1.0,True
MARC00057,ACC0000001,Dry Martini,MRC_BAR_004,2020-01-31 12:57:00,DRY MARTINI BCN,Food & Dining,21.25,EUR,Shopping & Retail,0.9922,False
MARC00058,ACC0000001,La Pepita,MRC_RST_004,2020-01-31 16:04:00,LA PEPITA BCN,Food & Dining,55.17,EUR,Transportation,0.9404,False
MARC00059,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-01-31 20:11:00,MIKKELLER BARCELONA,Food & Dining,13.7,EUR,Food & Dining,0.4847,True
MARC00060,ACC0000001,Dry Martini,MRC_BAR_004,2020-01-31 23:42:00,DRY MARTINI BCN,Food & Dining,31.48,EUR,Shopping & Retail,0.9922,False
MARC00061,ACC0000001,Landlord,MRC_RNT_001,2020-02-01 03:39:00,TRANSFERENCIA ALQUILER REF205336,Financial Services,2000.0,EUR,Financial Services,0.9999,True
MARC00062,ACC0000001,Repsol,MRC_GAS_001,2020-02-01 08:38:00,REPSOL 6025 ES,Transportation,83.02,EUR,Transportation,1.0,True
MARC00063,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-02-02 15:36:00,RETIRADA EFECTIVO CAJERO 10BC,Financial Services,50.0,EUR,Financial Services,0.7724,True
MARC00064,ACC0000001,Repsol,MRC_GAS_001,2020-02-02 18:27:00,REPSOL 5842 ES,Transportation,15.54,EUR,Transportation,1.0,True
MARC00065,ACC0000001,Orange Internet,MRC_UTL_002,2020-02-03 04:18:00,ORANGE ES 7XG6YA,Utilities & Services,29.99,EUR,Utilities & Services,1.0,True
MARC00066,ACC0000001,Mercadona,MRC_GRC_001,2020-02-04 13:22:00,MERCADONA 06972,Food & Dining,59.38,EUR,Food & Dining,1.0,True
MARC00067,ACC0000001,Netflix,MRC_SUB_001,2020-02-05 01:15:00,NETFLIX.COM,Entertainment & Recreation,17.99,EUR,Entertainment & Recreation,1.0,True
MARC00068,ACC0000001,Movistar,MRC_UTL_001,2020-02-05 02:12:00,MOVISTAR ES URDW7P,Utilities & Services,35.99,EUR,Utilities & Services,1.0,True
MARC00069,ACC0000001,Pull&Bear,MRC_SHP_009,2020-02-05 21:11:00,PULL AND BEAR 4607 ES,Shopping & Retail,20.0,EUR,Shopping & Retail,1.0,True
MARC00070,ACC0000001,Local restaurant,MRC_RST_006,2020-02-05 21:12:00,RESTAURANTE MVZBD BCN,Food & Dining,37.71,EUR,Food & Dining,1.0,True
MARC00071,ACC0000001,Mercadona,MRC_GRC_001,2020-02-06 14:14:00,MERCADONA 01475,Food & Dining,56.85,EUR,Food & Dining,1.0,True
MARC00072,ACC0000001,Just Eat,MRC_DLV_002,2020-02-06 21:06:00,JUST EAT ES 35GE1K,Food & Dining,31.88,EUR,Food & Dining,1.0,True
MARC00073,ACC0000001,Spotify,MRC_SUB_002,2020-02-08 04:14:00,SPOTIFY ES H2E0I4,Entertainment & Recreation,9.99,EUR,Entertainment & Recreation,1.0,True
MARC00074,ACC0000001,BSM Parking,MRC_PRK_002,2020-02-08 09:08:00,BSM PARKING BCN RRC5,Transportation,5.5,EUR,Transportation,0.9999,True
MARC00075,ACC0000001,Mercadona,MRC_GRC_001,2020-02-08 10:59:00,MERCADONA 09702,Food & Dining,15.0,EUR,Food & Dining,1.0,True
MARC00076,ACC0000001,Local restaurant,MRC_RST_006,2020-02-08 11:58:00,RESTAURANTE 6ZP7L BCN,Food & Dining,37.2,EUR,Food & Dining,1.0,True
MARC00077,ACC0000001,Caprabo,MRC_GRC_003,2020-02-08 12:49:00,CAPRABO 7148 BCN,Food & Dining,94.6,EUR,Food & Dining,1.0,True
MARC00078,ACC0000001,Disney+,MRC_SUB_003,2020-02-10 05:45:00,DISNEY PLUS*,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00079,ACC0000001,SABA Parking,MRC_PRK_001,2020-02-10 16:26:00,SABA PARKING LIEX BCN,Transportation,11.25,EUR,Transportation,1.0,True
MARC00080,ACC0000001,Caprabo,MRC_GRC_003,2020-02-11 19:51:00,CAPRABO 5306 BCN,Food & Dining,56.32,EUR,Food & Dining,1.0,True
MARC00081,ACC0000001,HBO Max,MRC_SUB_004,2020-02-12 03:25:00,MAX *SUBSCRIPTION JXYS5T,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00082,ACC0000001,BSM Parking,MRC_PRK_002,2020-02-13 10:53:00,BSM PARKING BCN OTJP,Transportation,7.42,EUR,Transportation,0.9999,True
MARC00083,ACC0000001,Mercadona,MRC_GRC_001,2020-02-14 11:42:00,MERCADONA 01012,Food & Dining,50.41,EUR,Food & Dining,1.0,True
MARC00084,ACC0000001,DiR Gym,MRC_GYM_001,2020-02-15 02:49:00,GIMNASIO DIR 5104 BCN,Healthcare & Medical,59.9,EUR,Healthcare & Medical,1.0,True
MARC00085,ACC0000001,Amazon Prime,MRC_SUB_005,2020-02-15 04:35:00,AMAZON PRIME*,Entertainment & Recreation,4.99,EUR,Entertainment & Recreation,1.0,True
MARC00086,ACC0000001,Mercadona,MRC_GRC_001,2020-02-15 09:01:00,MERCADONA 04245,Food & Dining,44.71,EUR,Food & Dining,1.0,True
MARC00087,ACC0000001,Local restaurant,MRC_RST_006,2020-02-16 20:08:00,CAFETERIA 0BVC BCN,Food & Dining,38.66,EUR,Food & Dining,1.0,True
MARC00088,ACC0000001,Mercadona,MRC_GRC_001,2020-02-16 21:35:00,MERCADONA 07058,Food & Dining,94.85,EUR,Food & Dining,1.0,True
MARC00089,ACC0000001,Cerveceria Catalana,MRC_RST_002,2020-02-17 12:51:00,CERVECERIA CATALANA BCN,Food & Dining,40.11,EUR,Food & Dining,0.9974,True
MARC00090,ACC0000001,Glovo,MRC_DLV_001,2020-02-17 16:40:00,GLOVO *ORDER VH91LQ,Food & Dining,14.0,EUR,Food & Dining,1.0,True
MARC00091,ACC0000001,Cerveceria Catalana,MRC_RST_002,2020-02-17 17:16:00,CERVECERIA CATALANA BCN,Food & Dining,55.37,EUR,Food & Dining,0.9974,True
MARC00092,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-02-18 14:42:00,RETIRADA EFECTIVO CAJERO YBL3,Financial Services,100.0,EUR,Financial Services,0.8596,True
MARC00093,ACC0000001,Cepsa,MRC_GAS_002,2020-02-18 18:43:00,CEPSA 2119 ES,Transportation,64.74,EUR,Transportation,1.0,True
MARC00094,ACC0000001,Cepsa,MRC_GAS_002,2020-02-18 18:44:00,CEPSA 3834 ES,Transportation,16.51,EUR,Transportation,1.0,True
MARC00095,ACC0000001,SABA Parking,MRC_PRK_001,2020-02-18 20:23:00,SABA PARKING BWRP BCN,Transportation,15.81,EUR,Transportation,1.0,True
MARC00096,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-02-19 08:21:00,MIKKELLER BARCELONA,Food & Dining,23.4,EUR,Food & Dining,0.4847,True
MARC00097,ACC0000001,Local bar,MRC_BAR_003,2020-02-19 16:45:00,BAR 5DIG BCN,Food & Dining,22.26,EUR,Food & Dining,0.9989,True
MARC00098,ACC0000001,Mikkeller Barcelona,MRC_BAR_001,2020-02-19 19:35:00,MIKKELLER BARCELONA,Food & Dining,8.72,EUR,Food & Dining,0.4847,True
MARC00099,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-02-19 19:44:00,RETIRADA EFECTIVO CAJERO 47RE,Financial Services,200.0,EUR,Financial Services,0.9996,True
MARC00100,ACC0000001,iCloud,MRC_SUB_007,2020-02-20 00:15:00,APPLE.COM/BILL,Entertainment & Recreation,2.99,EUR,Entertainment & Recreation,1.0,True
MARC00101,ACC0000001,Mercadona,MRC_GRC_001,2020-02-20 10:53:00,MERCADONA 03312,Food & Dining,31.09,EUR,Food & Dining,1.0,True
MARC00102,ACC0000001,Local bar,MRC_BAR_003,2020-02-20 17:25:00,BAR GWL8 BCN,Food & Dining,28.23,EUR,Food & Dining,0.9989,True
MARC00103,ACC0000001,El Xampanyet,MRC_RST_005,2020-02-20 19:38:00,EL XAMPANYET BCN,Food & Dining,50.9,EUR,Shopping & Retail,0.4552,False
MARC00104,ACC0000001,El Nacional,MRC_RST_001,2020-02-21 11:00:00,EL NACIONAL BARCELONA,Food & Dining,37.95,EUR,Healthcare & Medical,0.9197,False
MARC00105,ACC0000001,Bar del Pla,MRC_RST_003,2020-02-21 11:04:00,BAR DEL PLA BCNA,Food & Dining,47.81,EUR,Food & Dining,0.9923,True
MARC00106,ACC0000001,H&M,MRC_SHP_004,2020-02-21 19:49:00,H&M 3112 BCN,Shopping & Retail,82.73,EUR,Shopping & Retail,0.4507,True
MARC00107,ACC0000001,La Pepita,MRC_RST_004,2020-02-22 08:01:00,LA PEPITA BCN,Food & Dining,64.67,EUR,Transportation,0.9404,False
MARC00108,ACC0000001,BSM Parking,MRC_PRK_002,2020-02-22 11:58:00,BSM PARKING BCN 79MC,Transportation,9.4,EUR,Transportation,0.9999,True
MARC00109,ACC0000001,Local bar,MRC_BAR_003,2020-02-22 14:22:00,BAR BXJT BCN,Food & Dining,10.0,EUR,Food & Dining,0.9989,True
MARC00110,ACC0000001,Amazon ES,MRC_SHP_005,2020-02-23 08:13:00,AMZN MKTP ES*C307QX1R,Shopping & Retail,117.6,EUR,Shopping & Retail,1.0,True
MARC00111,ACC0000001,Dry Martini,MRC_BAR_004,2020-02-24 11:05:00,DRY MARTINI BCN,Food & Dining,25.86,EUR,Shopping & Retail,0.9922,False
MARC00112,ACC0000001,Cerveceria Catalana,MRC_RST_002,2020-02-25 14:04:00,CERVECERIA CATALANA BCN,Food & Dining,65.32,EUR,Food & Dining,0.9974,True
MARC00113,ACC0000001,Local restaurant,MRC_RST_006,2020-02-25 20:07:00,RESTAURANTE HXSVJ BCN,Food & Dining,61.39,EUR,Food & Dining,1.0,True
MARC00114,ACC0000001,SABA Parking,MRC_PRK_001,2020-02-26 08:35:00,SABA PARKING 54KZ BCN,Transportation,7.29,EUR,Transportation,1.0,True
MARC00115,ACC0000001,Employer,MRC_INC_001,2020-02-28 05:54:00,NOMINA BANCO FERRER SA 202002,Income,5000.0,EUR,Income,0.9983,True
MARC00116,ACC0000001,El Born Bar,MRC_BAR_002,2020-02-28 20:37:00,EL BORN BAR BCN,Food & Dining,31.52,EUR,Food & Dining,0.9975,True
MARC00117,ACC0000001,Mercadona,MRC_GRC_001,2020-02-29 17:39:00,MERCADONA 05439,Food & Dining,49.32,EUR,Food & Dining,1.0,True
MARC00118,ACC0000001,Local bar,MRC_BAR_003,2020-02-29 21:45:00,BAR TYIH BCN,Food & Dining,17.96,EUR,Food & Dining,0.9988,True
MARC00119,ACC0000001,Landlord,MRC_RNT_001,2020-03-01 01:32:00,TRANSFERENCIA ALQUILER REF376763,Financial Services,2000.0,EUR,Financial Services,0.9999,True
MARC00120,ACC0000001,Orange Internet,MRC_UTL_002,2020-03-03 04:25:00,ORANGE ES RLWLFW,Utilities & Services,29.99,EUR,Utilities & Services,1.0,True
MARC00121,ACC0000001,BP Spain,MRC_GAS_003,2020-03-04 12:37:00,BP #1005 BCN,Transportation,73.58,EUR,Transportation,1.0,True
MARC00122,ACC0000001,Local restaurant,MRC_RST_006,2020-03-04 19:31:00,RESTAURANTE 2R86Q BCN,Food & Dining,23.15,EUR,Food & Dining,1.0,True
MARC00123,ACC0000001,Movistar,MRC_UTL_001,2020-03-05 05:53:00,MOVISTAR ES FJ2ATQ,Utilities & Services,35.99,EUR,Utilities & Services,1.0,True
MARC00124,ACC0000001,Netflix,MRC_SUB_001,2020-03-05 05:56:00,NETFLIX.COM,Entertainment & Recreation,17.99,EUR,Entertainment & Recreation,1.0,True
MARC00125,ACC0000001,Local restaurant,MRC_RST_006,2020-03-05 23:36:00,CAFETERIA PJ8W BCN,Food & Dining,36.46,EUR,Food & Dining,1.0,True
MARC00126,ACC0000001,Lidl,MRC_GRC_002,2020-03-07 11:50:00,LIDL ES 8652,Food & Dining,24.65,EUR,Food & Dining,1.0,True
MARC00127,ACC0000001,Spotify,MRC_SUB_002,2020-03-08 05:53:00,SPOTIFY ES J4OO98,Entertainment & Recreation,9.99,EUR,Entertainment & Recreation,1.0,True
MARC00128,ACC0000001,Mercadona,MRC_GRC_001,2020-03-08 15:50:00,MERCADONA 02466,Food & Dining,79.81,EUR,Food & Dining,1.0,True
MARC00129,ACC0000001,Bon Preu,MRC_GRC_004,2020-03-08 21:14:00,BON PREU 3567 BCN,Food & Dining,48.02,EUR,Food & Dining,1.0,True
MARC00130,ACC0000001,Cerveceria Catalana,MRC_RST_002,2020-03-09 22:21:00,CERVECERIA CATALANA BCN,Food & Dining,62.61,EUR,Food & Dining,0.9974,True
MARC00131,ACC0000001,Disney+,MRC_SUB_003,2020-03-10 00:10:00,DISNEY PLUS*,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00132,ACC0000001,SABA Parking,MRC_PRK_001,2020-03-11 15:18:00,SABA PARKING JMN6 BCN,Transportation,8.13,EUR,Transportation,1.0,True
MARC00133,ACC0000001,HBO Max,MRC_SUB_004,2020-03-12 04:55:00,MAX *SUBSCRIPTION KAG9ZI,Entertainment & Recreation,8.99,EUR,Entertainment & Recreation,1.0,True
MARC00134,ACC0000001,Farmàcia,MRC_MED_001,2020-03-14 19:44:00,FARMACIA VL9B BCN,Healthcare & Medical,14.16,EUR,Healthcare & Medical,1.0,True
MARC00135,ACC0000001,Amazon Prime,MRC_SUB_005,2020-03-15 01:19:00,AMAZON PRIME*,Entertainment & Recreation,4.99,EUR,Entertainment & Recreation,1.0,True
MARC00136,ACC0000001,DiR Gym,MRC_GYM_001,2020-03-15 02:25:00,GIMNASIO DIR 7445 BCN,Healthcare & Medical,59.9,EUR,Healthcare & Medical,1.0,True
MARC00137,ACC0000001,Bar del Pla,MRC_RST_003,2020-03-15 22:11:00,BAR DEL PLA BCNA,Food & Dining,61.1,EUR,Food & Dining,0.9923,True
MARC00138,ACC0000001,La Pepita,MRC_RST_004,2020-03-17 23:38:00,LA PEPITA BCN,Food & Dining,18.0,EUR,Transportation,0.9404,False
MARC00139,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-03-18 10:05:00,RETIRADA EFECTIVO CAJERO VIL6,Financial Services,100.0,EUR,Financial Services,0.8597,True
MARC00140,ACC0000001,Local bar,MRC_BAR_003,2020-03-19 11:59:00,BAR P830 BCN,Food & Dining,19.23,EUR,Food & Dining,0.9988,True
MARC00141,ACC0000001,iCloud,MRC_SUB_007,2020-03-20 02:20:00,APPLE.COM/BILL,Entertainment & Recreation,2.99,EUR,Entertainment & Recreation,1.0,True
MARC00142,ACC0000001,El Xampanyet,MRC_RST_005,2020-03-21 21:38:00,EL XAMPANYET BCN,Food & Dining,61.58,EUR,Shopping & Retail,0.4552,False
MARC00143,ACC0000001,Amazon ES,MRC_SHP_005,2020-03-21 23:00:00,AMZN MKTP ES*K3NGYMKX,Shopping & Retail,110.98,EUR,Shopping & Retail,1.0,True
MARC00144,ACC0000001,Mercadona,MRC_GRC_001,2020-03-21 23:24:00,MERCADONA 02411,Food & Dining,63.56,EUR,Food & Dining,1.0,True
MARC00145,ACC0000001,Repsol,MRC_GAS_001,2020-03-25 16:01:00,REPSOL 4615 ES,Transportation,10.2,EUR,Transportation,1.0,True
MARC00146,ACC0000001,Lidl,MRC_GRC_002,2020-03-25 21:34:00,LIDL ES 6409,Food & Dining,35.25,EUR,Food & Dining,1.0,True
MARC00147,ACC0000001,Zara,MRC_SHP_001,2020-03-27 14:51:00,ZARA 1673 BCN,Shopping & Retail,47.66,EUR,Shopping & Retail,1.0,True
MARC00148,ACC0000001,Employer,MRC_INC_001,2020-03-28 03:43:00,NOMINA BANCO FERRER SA 202003,Income,5000.0,EUR,Income,0.9982,True
MARC00149,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-03-30 16:24:00,RETIRADA EFECTIVO CAJERO MVY8,Financial Services,150.0,EUR,Financial Services,0.7482,True
MARC00150,ACC0000001,BSM Parking,MRC_PRK_002,2020-03-31 14:13:00,BSM PARKING BCN CBHG,Transportation,16.99,EUR,Transportation,0.9999,True
MARC00151,ACC0000001,Landlord,MRC_RNT_001,2020-04-01 06:05:00,TRANSFERENCIA ALQUILER REF175562,Financial Services,2000.0,EUR,Financial Services,0.9998,True
MARC00152,ACC0000001,El Xampanyet,MRC_RST_005,2020-04-01 14:20:00,EL XAMPANYET BCN,Food & Dining,44.52,EUR,Shopping & Retail,0.4552,False
MARC00153,ACC0000001,CaixaBank ATM,MRC_ATM_001,2020-04-02 14:42:00,RETIRADA EFECTIVO CAJERO MYXL,Financial Services,50.0,EUR,Financial Services,0.8598,True
MARC00154,ACC0000001,Orange Internet,MRC_UTL_002,2020-04-03 00:51:00,ORANGE ES I7CJ73,Utilities & Services,29.99,EUR,Utilities & Services,0.9999,True
MARC00155,ACC0000001,Sephora,MRC_GFT_002,2020-04-03 11:04:00,SEPHORA BCN 5076,Shopping & Retail,28.5,EUR,Shopping & Retail,0.8488,True
MARC00156,ACC0000001,Netflix,MRC_SUB_001,2020-04-05 02:20:00,NETFLIX.COM,Entertainment & Recreation,17.99,EUR,Entertainment & Recreation,1.0,True
MARC00157,ACC0000001,Movistar,MRC_UTL_001,2020-04-05 04:16:00,MOVISTAR ES FKMFEX,Utilities & Services,35.99,EUR,Utilities & Services,1.0,True
MARC00158,ACC0000001,Amazon ES,MRC_SHP_005,2020-04-07 16:55:00,AMZN MKTP ES*Z582HTZG,Shopping & Retail,69.45,EUR,Shopping & Retail,1.0,True
MARC00159,ACC0000001,BSM Parking,MRC_PRK_002,2020-04-07 21:52:00,BSM PARKING BCN FW91,Transportation,11.54,EUR,Transportation,0.9999,True
MARC00160,ACC0000001,Spotify,MRC_SUB_002,2020-04-08 01:24:00,SPOTIFY ES YENLHI,Entertainment & Recreation,9.99,EUR,Entertainment & Recreation,1.0,True
